ID,Month,Country,Region,State,Product,Per-Unit Price,Quantity,Order Subtotal,Quantity Discount
41,9,USA,Northeast,MA,Ultra-Salty Chips,454,29,13166,0
42,10,USA,West,CA,Funky Pops,380,31,11780,0
43,3,USA,South,TN,Farm Fresh,365,43,15695,0
44,12,USA,South,MD,Orange Creepies,300,100,30000,3000
45,6,USA,South,DE,Mr Greens,447,33,14751,0
46,1,USA,Northeast,MA,Power Gels,193,63,12159,0
47,11,USA,South,FL,Only Pancakes,413,65,26845,0
48,5,USA,West,OR,Farm Fresh,365,79,28835,0
49,2,USA,West,AZ,Farm Fresh,365,36,13140,0
50,11,USA,South,FL,Just The Fruit,160,85,13600,0
51,12,USA,Midwest,NE,Organiks,257,23,5911,0
52,4,USA,West,HI,Big Waffle,268,87,23316,0
53,7,USA,South,MD,Just The Fruit,160,27,4320,0
54,4,USA,South,DE,Rotpunkt,220,88,19360,0
55,12,USA,West,AZ,Mr Greens,447,42,18774,0
56,7,USA,West,NV,Meat B Gone,495,38,18810,0
57,3,USA,West,OR,Red Rock Candy,189,68,12852,0
58,3,USA,West,OR,Ultra-Salty Chips,454,89,40406,0
59,5,USA,Midwest,NE,Grey Gummies,446,12,5352,0
60,11,USA,South,FL,Panda Gummies,104,96,9984,998
61,5,USA,Midwest,MO,Red Rock Candy,189,77,14553,0
62,3,USA,West,NV,Just The Fruit,160,40,6400,0
63,3,USA,Northeast,MA,Purple Pain,105,3,315,0
64,2,USA,South,NC,Only Pancakes,413,66,27258,0
65,11,USA,West,ID,GMO Guardian,176,30,5280,0
66,3,USA,Northeast,RI,Yellow Zonkers,134,16,2144,0
67,3,USA,Northeast,MA,Giant Gummies,347,7,2429,0
68,12,USA,West,WA,Yellow Zonkers,134,49,6566,0
69,10,USA,West,WA,Purple Pain,105,9,945,0
70,12,USA,Northeast,RI,Red Hot Chili Peppers,233,17,3961,0
71,7,USA,West,AZ,Giant Gummies,347,68,23596,0
72,9,USA,Midwest,NE,Red Rock Candy,189,8,1512,0
73,11,USA,South,SC,Future Toast,253,98,24794,2479
74,1,USA,West,AZ,Mr Greens,447,74,33078,0
75,3,USA,South,MD,Mr Greens,447,13,5811,0
76,10,USA,South,NC,Power Gels,193,96,18528,1853
77,1,USA,West,OR,Rotpunkt,220,58,12760,0
78,6,USA,South,TN,Grey Gummies,446,72,32112,0
79,3,USA,West,OR,Mr Greens,447,73,32631,0
80,2,USA,West,CA,Giant Gummies,347,25,8675,0
81,4,USA,Midwest,MO,PearApple,363,4,1452,0
82,12,USA,Northeast,RI,Big Waffle,268,25,6700,0
83,6,USA,Northeast,VT,Just The Fruit,160,17,2720,0
84,10,USA,Midwest,MI,Grey Gummies,446,2,892,0
85,4,USA,South,MD,Future Toast,253,65,16445,0
86,7,USA,South,TN,Purple Pain,105,41,4305,0
87,1,USA,West,WA,Mr Greens,447,98,43806,4381
88,5,USA,South,DE,PearApple,363,39,14157,0
89,11,USA,Midwest,NE,Panda Gummies,104,2,208,0
90,8,USA,Northeast,MA,PearApple,363,65,23595,0
91,12,USA,South,MD,Ultra-Salty Chips,454,16,7264,0
92,11,USA,West,WA,Just The Fruit,160,78,12480,0
93,9,USA,South,FL,Organiks,257,100,25700,2570
94,9,USA,South,TN,Ultra-Salty Chips,454,76,34504,0
95,5,USA,South,FL,Nap Be Gone,500,74,37000,0
96,12,USA,West,CA,Organiks,257,73,18761,0
97,8,USA,Midwest,IL,Cheezos,372,84,31248,0
98,4,USA,Midwest,MO,PearApple,363,26,9438,0
99,7,USA,South,DE,Organiks,257,68,17476,0
100,9,USA,South,TN,Green Lightning,161,36,5796,0
101,11,USA,Northeast,VT,PearApple,363,69,25047,0
102,12,USA,South,SC,Farm Fresh,365,64,23360,0
103,6,USA,South,FL,PearApple,363,42,15246,0
104,8,USA,Midwest,MI,Funky Pops,380,79,30020,0
105,6,USA,South,NC,Yellow Zonkers,134,25,3350,0
106,9,USA,West,WA,Mr Greens,447,94,42018,4202
107,4,USA,Midwest,MO,Green Lightning,161,91,14651,1465
108,2,USA,West,CA,Future Toast,253,5,1265,0
109,1,USA,South,MD,Power Gels,193,86,16598,0
110,5,USA,West,OR,Orange Creepies,300,76,22800,0
111,11,USA,Midwest,MO,Purple Pain,105,12,1260,0
112,2,USA,Midwest,NE,Red Rock Candy,189,5,945,0
113,1,USA,South,FL,GMO Guardian,176,75,13200,0
114,1,USA,Northeast,MA,Red Hot Chili Peppers,233,20,4660,0
115,6,USA,Northeast,MA,Orange Creepies,300,58,17400,0
116,10,USA,South,KY,Giant Gummies,347,85,29495,0
117,5,USA,South,NC,GMO Guardian,176,39,6864,0
118,7,USA,South,TN,Purple Pain,105,4,420,0
119,5,USA,West,OR,Only Pancakes,413,89,36757,0
120,3,USA,South,FL,Orange Creepies,300,33,9900,0
121,5,USA,West,CA,Nap Be Gone,500,26,13000,0
122,5,USA,Northeast,RI,Mr Greens,447,71,31737,0
123,7,USA,South,FL,Future Toast,253,80,20240,0
124,9,USA,South,DE,PearApple,363,2,726,0
125,3,USA,South,DE,GMO Guardian,176,7,1232,0
126,1,USA,Midwest,MI,GMO Guardian,176,27,4752,0
127,5,USA,South,NC,Giant Gummies,347,76,26372,0
128,11,USA,South,FL,Organiks,257,39,10023,0
129,2,USA,Midwest,IL,Grey Gummies,446,65,28990,0
130,12,USA,South,KY,Grey Gummies,446,31,13826,0
131,3,USA,West,ID,Red Rock Candy,189,65,12285,0
132,3,USA,West,ID,Funky Pops,380,53,20140,0
133,4,USA,South,TN,Just The Fruit,160,4,640,0
134,7,USA,Midwest,IL,Future Toast,253,17,4301,0
135,5,USA,Midwest,MI,GMO Guardian,176,36,6336,0
136,10,USA,West,AZ,Green Lightning,161,67,10787,0
137,9,USA,West,HI,Purple Pain,105,17,1785,0
138,7,USA,Northeast,RI,Yellow Zonkers,134,100,13400,1340
139,12,USA,Northeast,MA,Rotpunkt,220,33,7260,0
140,12,USA,West,HI,Green Lightning,161,40,6440,0
141,4,USA,Midwest,NE,Rotpunkt,220,86,18920,0
142,6,USA,South,MD,Orange Creepies,300,8,2400,0
143,1,USA,West,CA,Organiks,257,80,20560,0
144,6,USA,Midwest,NE,Panda Gummies,104,79,8216,0
145,9,USA,South,MD,Big Waffle,268,28,7504,0
146,11,USA,Northeast,VT,Orange Creepies,300,86,25800,0
147,12,USA,West,NV,Farm Fresh,365,63,22995,0
148,6,USA,West,ID,Mr Greens,447,100,44700,4470
149,2,USA,Midwest,NE,Rotpunkt,220,23,5060,0
150,8,USA,West,WA,Rotpunkt,220,78,17160,0
151,11,USA,South,FL,Mr Greens,447,45,20115,0
152,10,USA,South,TN,Orange Creepies,300,55,16500,0
153,8,USA,Northeast,VT,Future Toast,253,46,11638,0
154,9,USA,West,OR,PearApple,363,42,15246,0
155,4,USA,South,FL,Red Rock Candy,189,64,12096,0
156,6,USA,Midwest,MI,Nap Be Gone,500,88,44000,0
157,4,USA,South,KY,Organiks,257,32,8224,0
158,2,USA,South,SC,Future Toast,253,83,20999,0
159,6,USA,South,DE,Big Waffle,268,54,14472,0
160,9,USA,Midwest,NE,Just The Fruit,160,94,15040,1504
161,11,USA,South,TN,Grey Gummies,446,45,20070,0
162,5,USA,South,NC,Nap Be Gone,500,88,44000,0
163,6,USA,West,HI,Green Lightning,161,78,12558,0
164,10,USA,West,WA,Farm Fresh,365,10,3650,0
165,12,USA,South,SC,Crocodile Tears,143,68,9724,0
166,6,USA,Northeast,MA,Big Waffle,268,17,4556,0
167,7,USA,South,MD,Yellow Zonkers,134,29,3886,0
168,12,USA,South,TN,Purple Pain,105,38,3990,0
169,10,USA,Midwest,MO,Cheezos,372,99,36828,3683
170,8,USA,South,KY,GMO Guardian,176,12,2112,0
171,5,USA,Midwest,MO,Green Lightning,161,64,10304,0
172,4,USA,South,MD,Orange Creepies,300,28,8400,0
173,9,USA,South,FL,PearApple,363,57,20691,0
174,1,USA,Northeast,VT,Cheezos,372,73,27156,0
175,7,USA,Northeast,VT,Cheezos,372,46,17112,0
176,11,USA,South,FL,PearApple,363,94,34122,3412
177,6,USA,Midwest,MI,Giant Gummies,347,48,16656,0
178,8,USA,South,NC,Only Pancakes,413,60,24780,0
179,1,USA,Midwest,MI,Rotpunkt,220,39,8580,0
180,10,USA,South,TN,Funky Pops,380,64,24320,0
181,3,USA,West,WA,Rotpunkt,220,58,12760,0
182,8,USA,Northeast,MA,Crocodile Tears,143,68,9724,0
183,11,USA,South,FL,Big Waffle,268,42,11256,0
184,2,USA,West,AZ,Cheezos,372,81,30132,0
185,2,USA,West,NV,Future Toast,253,89,22517,0
186,5,USA,Northeast,MA,Meat B Gone,495,94,46530,4653
187,7,USA,Midwest,MO,Yellow Zonkers,134,61,8174,0
188,9,USA,South,TN,Green Lightning,161,87,14007,0
189,7,USA,West,WA,Purple Pain,105,24,2520,0
190,9,USA,West,CA,Panda Gummies,104,20,2080,0
191,6,USA,West,HI,Giant Gummies,347,74,25678,0
192,2,USA,South,FL,Just The Fruit,160,73,11680,0
193,5,USA,Northeast,VT,Cheezos,372,81,30132,0
194,3,USA,Northeast,RI,Big Waffle,268,70,18760,0
195,6,USA,South,MD,Panda Gummies,104,40,4160,0
196,10,USA,South,TN,Funky Pops,380,97,36860,3686
197,5,USA,South,KY,Only Pancakes,413,7,2891,0
198,10,USA,South,FL,Red Hot Chili Peppers,233,68,15844,0
199,4,USA,South,SC,Farm Fresh,365,42,15330,0
200,1,USA,South,FL,PearApple,363,7,2541,0
201,1,USA,South,NC,Crocodile Tears,143,7,1001,0
202,1,USA,West,NV,Orange Creepies,300,47,14100,0
203,12,USA,Midwest,IL,Crocodile Tears,143,57,8151,0
204,5,USA,West,AZ,Farm Fresh,365,22,8030,0
205,6,USA,West,AZ,Rotpunkt,220,23,5060,0
206,7,USA,Midwest,MI,Orange Creepies,300,71,21300,0
207,5,USA,South,KY,Crocodile Tears,143,16,2288,0
208,12,USA,South,TN,Crocodile Tears,143,23,3289,0
209,9,USA,South,TN,Ultra-Salty Chips,454,96,43584,4358
210,1,USA,West,AZ,GMO Guardian,176,60,10560,0
211,6,USA,Midwest,IL,Red Rock Candy,189,66,12474,0
212,10,USA,Northeast,RI,Green Lightning,161,9,1449,0
213,12,USA,Midwest,MI,Green Lightning,161,52,8372,0
214,5,USA,South,FL,Just The Fruit,160,2,320,0
215,5,USA,Midwest,MO,Rotpunkt,220,85,18700,0
216,9,USA,South,KY,Power Gels,193,68,13124,0
217,7,USA,South,SC,Orange Creepies,300,62,18600,0
218,6,USA,Midwest,MO,Purple Pain,105,96,10080,1008
219,8,USA,West,HI,Cheezos,372,89,33108,0
220,12,USA,South,TN,Giant Gummies,347,11,3817,0
221,2,USA,West,OR,Red Rock Candy,189,3,567,0
222,3,USA,Midwest,MI,Big Waffle,268,19,5092,0
223,8,USA,Midwest,MO,Grey Gummies,446,81,36126,0
224,2,USA,Midwest,MO,Farm Fresh,365,74,27010,0
225,7,USA,West,NV,Nap Be Gone,500,18,9000,0
226,4,USA,West,ID,PearApple,363,14,5082,0
227,10,USA,West,AZ,Yellow Zonkers,134,37,4958,0
228,5,USA,South,TN,GMO Guardian,176,93,16368,1637
229,8,USA,South,MD,Funky Pops,380,97,36860,3686
230,8,USA,Northeast,MA,Organiks,257,68,17476,0
231,1,USA,Midwest,IL,Cheezos,372,74,27528,0
232,7,USA,Northeast,MA,Only Pancakes,413,6,2478,0
233,4,USA,South,NC,Orange Creepies,300,3,900,0
234,6,USA,South,TN,Panda Gummies,104,59,6136,0
235,12,USA,Midwest,MO,Power Gels,193,42,8106,0
236,1,USA,Midwest,MI,Big Waffle,268,20,5360,0
237,5,USA,South,DE,Ultra-Salty Chips,454,70,31780,0
238,9,USA,Northeast,MA,Organiks,257,17,4369,0
239,4,USA,South,TN,Grey Gummies,446,61,27206,0
240,10,USA,West,HI,Purple Pain,105,6,630,0
241,2,USA,Midwest,NE,Only Pancakes,413,35,14455,0
242,9,USA,West,NV,Rotpunkt,220,5,1100,0
243,4,USA,South,FL,Crocodile Tears,143,88,12584,0
244,5,USA,South,FL,Future Toast,253,72,18216,0
245,10,USA,Midwest,MO,Only Pancakes,413,26,10738,0
246,3,USA,South,SC,Orange Creepies,300,81,24300,0
247,6,USA,South,FL,Crocodile Tears,143,76,10868,0
248,5,USA,South,FL,Just The Fruit,160,24,3840,0
249,12,USA,Midwest,MO,Future Toast,253,15,3795,0
250,4,USA,West,NV,Organiks,257,10,2570,0
251,11,USA,South,NC,Cheezos,372,87,32364,0
252,5,USA,West,ID,Rotpunkt,220,84,18480,0
253,12,USA,West,NV,Panda Gummies,104,96,9984,998
254,4,USA,West,WA,Yellow Zonkers,134,24,3216,0
255,1,USA,South,FL,Giant Gummies,347,87,30189,0
256,4,USA,West,WA,GMO Guardian,176,96,16896,1690
257,1,USA,South,DE,Meat B Gone,495,96,47520,4752
258,2,USA,Midwest,MO,Organiks,257,98,25186,2519
259,4,USA,West,CA,Red Hot Chili Peppers,233,14,3262,0
260,9,USA,West,AZ,Meat B Gone,495,88,43560,0
261,2,USA,Northeast,VT,Mr Greens,447,87,38889,0
262,8,USA,South,DE,Yellow Zonkers,134,62,8308,0
263,7,USA,West,OR,Farm Fresh,365,55,20075,0
264,10,USA,Northeast,MA,Rotpunkt,220,80,17600,0
265,6,USA,Northeast,RI,Grey Gummies,446,41,18286,0
266,10,USA,Midwest,MO,Farm Fresh,365,71,25915,0
267,6,USA,Midwest,NE,Giant Gummies,347,21,7287,0
268,9,USA,South,SC,PearApple,363,13,4719,0
269,4,USA,South,DE,Rotpunkt,220,2,440,0
270,6,USA,Midwest,NE,Mr Greens,447,42,18774,0
271,3,USA,Northeast,MA,Giant Gummies,347,68,23596,0
272,10,USA,Midwest,MO,Ultra-Salty Chips,454,37,16798,0
273,2,USA,South,MD,Crocodile Tears,143,17,2431,0
274,9,USA,Midwest,MI,PearApple,363,46,16698,0
275,4,USA,West,WA,Mr Greens,447,11,4917,0
276,7,USA,South,NC,Funky Pops,380,15,5700,0
277,4,USA,West,ID,Rotpunkt,220,87,19140,0
278,2,USA,Midwest,NE,Farm Fresh,365,89,32485,0
279,10,USA,Midwest,MO,Orange Creepies,300,65,19500,0
280,8,USA,South,FL,Only Pancakes,413,59,24367,0
281,3,USA,Northeast,VT,Just The Fruit,160,45,7200,0
282,6,USA,Northeast,VT,GMO Guardian,176,19,3344,0
283,11,USA,West,AZ,Red Rock Candy,189,29,5481,0
284,5,USA,South,TN,Farm Fresh,365,85,31025,0
285,2,USA,South,SC,Red Rock Candy,189,19,3591,0
286,7,USA,South,NC,Crocodile Tears,143,25,3575,0
287,3,USA,West,CA,Green Lightning,161,62,9982,0
288,12,USA,Northeast,RI,GMO Guardian,176,28,4928,0
289,5,USA,Midwest,NE,Future Toast,253,70,17710,0
290,4,USA,Midwest,NE,Orange Creepies,300,13,3900,0
291,1,USA,South,MD,Future Toast,253,83,20999,0
292,11,USA,South,FL,Power Gels,193,17,3281,0
293,11,USA,West,HI,PearApple,363,38,13794,0
294,9,USA,South,MD,Farm Fresh,365,22,8030,0
295,6,USA,West,NV,Only Pancakes,413,100,41300,4130
296,2,USA,South,MD,Green Lightning,161,68,10948,0
297,11,USA,South,MD,Mr Greens,447,72,32184,0
298,3,USA,South,KY,Crocodile Tears,143,34,4862,0
299,3,USA,West,NV,Organiks,257,74,19018,0
300,3,USA,Midwest,MO,Panda Gummies,104,71,7384,0
301,7,USA,West,OR,Power Gels,193,28,5404,0
302,11,USA,South,KY,Grey Gummies,446,13,5798,0
303,9,USA,Midwest,IL,Power Gels,193,42,8106,0
304,12,USA,West,NV,Red Hot Chili Peppers,233,66,15378,0
305,3,USA,South,TN,Only Pancakes,413,43,17759,0
306,10,USA,Midwest,MO,Giant Gummies,347,64,22208,0
307,1,USA,South,SC,Green Lightning,161,29,4669,0
308,4,USA,West,OR,PearApple,363,2,726,0
309,8,USA,South,TN,Funky Pops,380,94,35720,3572
310,8,USA,South,FL,GMO Guardian,176,11,1936,0
311,11,USA,West,WA,Green Lightning,161,97,15617,1562
312,9,USA,South,FL,Red Hot Chili Peppers,233,59,13747,0
313,3,USA,South,MD,Ultra-Salty Chips,454,72,32688,0
314,3,USA,West,HI,Purple Pain,105,66,6930,0
315,11,USA,South,SC,Power Gels,193,4,772,0
316,11,USA,South,TN,Purple Pain,105,79,8295,0
317,3,USA,Midwest,MI,Rotpunkt,220,28,6160,0
318,12,USA,South,DE,Big Waffle,268,98,26264,2626
319,7,USA,West,OR,Nap Be Gone,500,97,48500,4850
320,6,USA,South,MD,Orange Creepies,300,26,7800,0
321,6,USA,South,FL,Farm Fresh,365,66,24090,0
322,4,USA,Midwest,MI,Crocodile Tears,143,43,6149,0
323,4,USA,Midwest,NE,Rotpunkt,220,33,7260,0
324,9,USA,Midwest,MO,Just The Fruit,160,61,9760,0
325,5,USA,South,DE,Giant Gummies,347,38,13186,0
326,7,USA,West,WA,Just The Fruit,160,8,1280,0
327,4,USA,West,HI,Farm Fresh,365,11,4015,0
328,8,USA,West,ID,Big Waffle,268,37,9916,0
329,4,USA,West,NV,Future Toast,253,42,10626,0
330,11,USA,South,MD,Yellow Zonkers,134,37,4958,0
331,5,USA,South,MD,Green Lightning,161,47,7567,0
332,9,USA,Midwest,MO,Big Waffle,268,71,19028,0
333,6,USA,South,MD,Ultra-Salty Chips,454,8,3632,0
334,4,USA,Northeast,RI,Panda Gummies,104,1,104,0
335,9,USA,West,WA,Power Gels,193,85,16405,0
336,8,USA,West,OR,Big Waffle,268,97,25996,2600
337,10,USA,South,NC,Grey Gummies,446,75,33450,0
338,6,USA,West,OR,Rotpunkt,220,77,16940,0
339,4,USA,West,CA,Farm Fresh,365,42,15330,0
340,6,USA,South,FL,Power Gels,193,21,4053,0
341,10,USA,West,AZ,Farm Fresh,365,91,33215,3322
342,9,USA,South,DE,Grey Gummies,446,83,37018,0
343,12,USA,Midwest,IL,Green Lightning,161,66,10626,0
344,4,USA,Midwest,NE,Only Pancakes,413,55,22715,0
345,1,USA,West,ID,Panda Gummies,104,75,7800,0
346,1,USA,Midwest,NE,Red Hot Chili Peppers,233,49,11417,0
347,8,USA,South,SC,Panda Gummies,104,18,1872,0
348,5,USA,South,MD,GMO Guardian,176,8,1408,0
349,5,USA,South,MD,Yellow Zonkers,134,2,268,0
350,2,USA,Northeast,RI,Green Lightning,161,45,7245,0
351,10,USA,Northeast,RI,Red Rock Candy,189,19,3591,0
352,8,USA,West,ID,Future Toast,253,70,17710,0
353,8,USA,Midwest,NE,Organiks,257,33,8481,0
354,11,USA,West,AZ,PearApple,363,58,21054,0
355,5,USA,West,CA,Panda Gummies,104,95,9880,988
356,8,USA,Midwest,IL,Giant Gummies,347,68,23596,0
357,1,USA,Midwest,IL,Orange Creepies,300,10,3000,0
358,4,USA,South,MD,Power Gels,193,27,5211,0
359,2,USA,South,FL,PearApple,363,84,30492,0
360,1,USA,West,OR,Orange Creepies,300,59,17700,0
361,9,USA,Midwest,IL,Mr Greens,447,66,29502,0
362,4,USA,West,NV,Grey Gummies,446,72,32112,0
363,7,USA,South,MD,Mr Greens,447,12,5364,0
364,12,USA,West,CA,Crocodile Tears,143,7,1001,0
365,3,USA,West,HI,Just The Fruit,160,34,5440,0
366,2,USA,West,NV,Nap Be Gone,500,57,28500,0
367,10,USA,South,TN,Just The Fruit,160,35,5600,0
368,2,USA,West,CA,Orange Creepies,300,76,22800,0
369,9,USA,Midwest,MO,Crocodile Tears,143,5,715,0
370,5,USA,South,FL,Giant Gummies,347,93,32271,3227
371,12,USA,South,NC,PearApple,363,16,5808,0
372,12,USA,West,OR,Just The Fruit,160,33,5280,0
373,5,USA,South,FL,Mr Greens,447,16,7152,0
374,6,USA,South,FL,Crocodile Tears,143,7,1001,0
375,12,USA,West,AZ,PearApple,363,44,15972,0
376,9,USA,Northeast,VT,Grey Gummies,446,61,27206,0
377,5,USA,West,ID,Funky Pops,380,76,28880,0
378,6,USA,South,MD,Ultra-Salty Chips,454,56,25424,0
379,8,USA,South,KY,Ultra-Salty Chips,454,3,1362,0
380,3,USA,West,OR,Rotpunkt,220,55,12100,0
381,6,USA,West,HI,Orange Creepies,300,67,20100,0
382,9,USA,Midwest,NE,Future Toast,253,76,19228,0
383,12,USA,West,OR,Purple Pain,105,91,9555,956
384,2,USA,West,AZ,Cheezos,372,75,27900,0
385,1,USA,West,ID,Mr Greens,447,82,36654,0
386,8,USA,West,AZ,Nap Be Gone,500,33,16500,0
387,7,USA,West,AZ,Mr Greens,447,72,32184,0
388,7,USA,South,TN,Purple Pain,105,37,3885,0
389,12,USA,Midwest,MO,Purple Pain,105,65,6825,0
390,8,USA,South,DE,Crocodile Tears,143,48,6864,0
391,12,USA,West,AZ,Red Hot Chili Peppers,233,38,8854,0
392,10,USA,South,FL,Red Rock Candy,189,44,8316,0
393,12,USA,West,OR,Green Lightning,161,56,9016,0
394,8,USA,West,AZ,Green Lightning,161,67,10787,0
395,1,USA,West,HI,Cheezos,372,24,8928,0
396,11,USA,Midwest,MI,Yellow Zonkers,134,33,4422,0
397,3,USA,West,NV,Farm Fresh,365,40,14600,0
398,7,USA,South,KY,Rotpunkt,220,97,21340,2134
399,9,USA,West,ID,Yellow Zonkers,134,18,2412,0
400,1,USA,Midwest,NE,Organiks,257,68,17476,0
401,7,USA,Northeast,MA,Big Waffle,268,36,9648,0
402,12,USA,Northeast,MA,Panda Gummies,104,38,3952,0
403,9,USA,Midwest,NE,Purple Pain,105,68,7140,0
404,10,USA,Midwest,NE,Nap Be Gone,500,99,49500,4950
405,12,USA,West,HI,Rotpunkt,220,68,14960,0
406,1,USA,Midwest,MO,Just The Fruit,160,76,12160,0
407,1,USA,Midwest,MI,Red Hot Chili Peppers,233,12,2796,0
408,11,USA,South,FL,Organiks,257,33,8481,0
409,7,USA,West,CA,Green Lightning,161,81,13041,0
410,1,USA,West,ID,Meat B Gone,495,13,6435,0
411,5,USA,West,OR,Yellow Zonkers,134,20,2680,0
412,5,USA,South,TN,Crocodile Tears,143,93,13299,1330
413,1,USA,West,CA,Only Pancakes,413,67,27671,0
414,4,USA,Midwest,NE,PearApple,363,69,25047,0
415,5,USA,Northeast,VT,Ultra-Salty Chips,454,84,38136,0
416,7,USA,West,AZ,Giant Gummies,347,13,4511,0
417,3,USA,South,TN,Meat B Gone,495,9,4455,0
418,6,USA,West,HI,Big Waffle,268,39,10452,0
419,7,USA,Northeast,VT,Big Waffle,268,3,804,0
420,5,USA,West,CA,Only Pancakes,413,29,11977,0
421,9,USA,West,CA,Rotpunkt,220,5,1100,0
422,8,USA,South,FL,Future Toast,253,26,6578,0
423,9,USA,South,DE,Mr Greens,447,9,4023,0
424,10,USA,West,WA,Just The Fruit,160,72,11520,0
425,6,USA,South,TN,Just The Fruit,160,39,6240,0
426,9,USA,South,SC,Just The Fruit,160,64,10240,0
427,7,USA,South,TN,Purple Pain,105,77,8085,0
428,7,USA,Northeast,MA,Organiks,257,45,11565,0
429,9,USA,West,NV,Cheezos,372,47,17484,0
430,3,USA,South,KY,Just The Fruit,160,57,9120,0
431,12,USA,West,OR,Red Hot Chili Peppers,233,54,12582,0
432,2,USA,South,TN,Cheezos,372,39,14508,0
433,9,USA,South,KY,Just The Fruit,160,30,4800,0
434,9,USA,Midwest,MI,GMO Guardian,176,76,13376,0
435,5,USA,Northeast,VT,Yellow Zonkers,134,57,7638,0
436,8,USA,Midwest,MO,Nap Be Gone,500,35,17500,0
437,10,USA,South,FL,Cheezos,372,25,9300,0
438,7,USA,South,TN,Meat B Gone,495,87,43065,0
439,11,USA,Northeast,MA,Future Toast,253,47,11891,0
440,8,USA,South,DE,Funky Pops,380,70,26600,0
441,7,USA,Northeast,MA,Crocodile Tears,143,55,7865,0
442,7,USA,Midwest,NE,GMO Guardian,176,85,14960,0
443,9,USA,West,WA,Nap Be Gone,500,63,31500,0
444,4,USA,South,DE,Organiks,257,40,10280,0
445,9,USA,South,TN,Farm Fresh,365,14,5110,0
446,12,USA,Midwest,IL,Meat B Gone,495,27,13365,0
447,3,USA,West,HI,Power Gels,193,51,9843,0
448,2,USA,South,NC,Future Toast,253,59,14927,0
449,1,USA,South,SC,Funky Pops,380,71,26980,0
450,4,USA,Midwest,MI,Grey Gummies,446,68,30328,0
451,10,USA,Northeast,MA,Future Toast,253,95,24035,2404
452,5,USA,West,NV,Funky Pops,380,78,29640,0
453,6,USA,West,NV,GMO Guardian,176,10,1760,0
454,4,USA,Midwest,IL,Red Hot Chili Peppers,233,44,10252,0
455,10,USA,South,SC,Funky Pops,380,63,23940,0
456,11,USA,South,SC,Purple Pain,105,86,9030,0
457,7,USA,West,HI,Crocodile Tears,143,12,1716,0
458,11,USA,Northeast,RI,Red Hot Chili Peppers,233,67,15611,0
459,1,USA,South,SC,Only Pancakes,413,24,9912,0
460,7,USA,West,WA,Funky Pops,380,78,29640,0
461,8,USA,Midwest,NE,Future Toast,253,100,25300,2530
462,2,USA,Northeast,RI,Meat B Gone,495,87,43065,0
463,8,USA,Midwest,IL,Farm Fresh,365,89,32485,0
464,4,USA,South,SC,Purple Pain,105,44,4620,0
465,5,USA,South,FL,Red Hot Chili Peppers,233,57,13281,0
